 #         z     rescaling_fact
           1   1.00000000    
           2   1.00000000    
           3   1.00000000    
           4   1.00000000    
           5   1.00000000    
           6   1.00000000    
           7   1.00000000    
           8   1.00000000    
           9   1.00000000    
          10   1.00000000    
          11   1.00000000    
          12   1.00000000    
          13   1.00000000    
          14   1.00000000    
          15   1.00000000    
          16   1.00000000    
          17   1.00000000    
          18   1.00000000    
          19   1.00000000    
          20   1.00000000    
          21   1.00000000    
          22   1.00000000    
          23   1.00000000    
          24   1.00000000    
          25   1.00000000    
          26   1.00000000    
          27   1.00000000    
          28   1.00000000    
          29   1.00000000    
          30   1.00000000    
          31   1.00000000    
          32   1.00000000    
          33   1.00000000    
          34   1.00000000    
          35  0.986025631    
          36  0.987896323    
          37  0.986025631    
          38  0.962579906    
          39  0.939134181    
          40  0.962579906    
          41  0.986025631    
          42  0.987896323    
          43  0.989767075    
          44   1.03329062    
          45   1.07681406    
          46   1.07681406    
          47   1.09864640    
          48   1.09864640    
          49   1.12235928    
          50   1.14607215    
          51   1.19462025    
          52   1.14607215    
          53   1.12235928    
          54   1.09864640    
          55   1.08745670    
          56   1.07626688    
          57   1.03225493    
          58  0.965863407    
          59   1.00000000    
          60   1.00000000    
          61   1.00000000    
          62   1.00000000    
          63   1.00000000    
          64   1.00000000    
          65   1.00000000    
          66   1.00000000    
          67   1.00000000    
          68   1.00000000    
          69   1.00000000    
          70   1.00000000    
          71   1.00000000    
          72   1.00000000    
          73   1.00000000    
          74   1.00000000    
          75   1.00000000    
          76   1.00000000    
          77   1.00000000    
          78   1.00000000    
          79   1.00000000    
          80   1.00000000    
          81   1.00000000    
          82   1.00000000    
          83   1.00000000    
          84   1.00000000    
          85   1.00000000    
          86   1.00000000    
          87   1.00000000    
          88   1.00000000    
          89   1.00000000    
          90   1.00000000    
